PropertyID,PropType,taxkey,Address,CondoProject,District,nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
98422,Manufacturing,10011000,9400 N 124TH ST,,9,6300,Pole Building,Metal Siding,1,2005,NULL,18000,1,NULL,NULL,NULL,0,3/11/2019,675000
98453,Commercial,30023110,10545 W DONGES CT,,9,6202,Warehouse Building - 1 Story,Concrete Block,1,1973,NULL,27940,5,NULL,NULL,NULL,100188,9/13/2019,1300000
98490,Residential,40061000,9409 N MICHAEL CT,,9,40,Ranch,Fiber Cement/Hardiplank,1,2006,9,2778,1,4,2,NULL,13831,7/25/2019,350000
98495,Residential,40066000,9469 N MICHAEL CT,,9,40,Tudor,Fiber Cement/Hardiplank,2,2006,9,2936,1,4,2,1,10607,9/27/2019,380000
98545,Residential,50026000,9313 N JOYCE AV,,9,40,Ranch,Aluminum/Vinyl,1,1980,5,1007,1,3,1,NULL,9170,8/23/2019,135000
98558,Residential,50039000,9391 N JOYCE AV,,9,40,Colonial,Aluminum/Vinyl,2,1980,6,1489,1,3,1,1,10790,5/30/2019,185000
98562,Residential,50043000,9328 N JOYCE AV,,9,40,Ranch,Aluminum/Vinyl,1,1980,6,1505,1,3,2,NULL,8878,9/16/2019,170500
98594,Residential,50075000,9368 N 85TH ST,,9,40,Ranch,Aluminum/Vinyl,1,1981,6,1475,1,3,1,1,8400,10/11/2019,145500
98626,Residential,50107000,8138 W GLENBROOK RD,,9,40,Ranch,Aluminum/Vinyl,1,1989,5,1241,1,3,1,1,7200,7/10/2019,135000
98636,Residential,50117000,7970 W GLENBROOK RD,,9,40,Colonial,Aluminum/Vinyl,2,2006,9,2244,1,4,2,1,8925,8/28/2019,265000
98689,Condominium,70010000,"9170 N 70TH ST, Unit 5",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,6,1244,1,3,2,1,0,2/19/2019,89000
98715,Condominium,70036000,"9212 N 70TH ST, Unit 8",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,7,1437,1,4,2,1,0,7/22/2019,86000
98718,Condominium,70039000,"9240 N 70TH ST, Unit 3",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,6,1437,1,3,2,1,0,3/1/2019,75000
98723,Condominium,70044000,"9230 N 70TH ST, Unit 8",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,1,1973,5,1437,1,3,2,1,0,11/8/2019,85500
98742,Condominium,70063000,"9270 N 70TH ST, Unit 6",NORTHRIDGE WOOD LAKE,9,5010,Condo Ranch,,1,1973,4,898,1,2,1,1,0,6/14/2019,41000
98743,Condominium,70064000,"9298 N 70TH ST, Unit 1",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,5,1253,1,3,1,1,0,4/19/2019,73000
98744,Condominium,70065000,"9296 N 70TH ST, Unit 2",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,5,1253,1,3,1,1,0,7/31/2019,69000
98782,Condominium,70103000,"6919 W GLENBROOK RD, Unit 1",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,5,1253,1,3,1,1,0,5/10/2019,82000
98783,Condominium,70104000,"6921 W GLENBROOK RD, Unit 2",NORTHRIDGE WOOD LAKE,9,5010,Condo Townhouse,,2,1973,5,1244,1,3,2,1,0,8/19/2019,77000
